Species,bodyLengthMm,clutchSizeMinN,clutchSizeMaxN,habitatType,reproductiveMethod
physalaemus atlanticus,26.8,51.0,130.0,terrestrial + aquatic,larval
oophaga arborea,22.2,4.0,8.0,arboreal,larval
hypsiboas albopunctatus,75.0,552.0,997.0,aquatic + arboreal,larval
bufo aspinius,95.0,2250.0,2250.0,terrestrial + aquatic,larval
hemiphractus helioi,57.9,17.0,18.0,arboreal,direct
pristimantis avius,33.1,18.0,18.0,terrestrial,direct
litoria vocivincens,26.5,200.0,400.0,terrestrial + aquatic + arboreal,larval
gephyromantis webbi,31.0,7.0,7.0,terrestrial,larval
ambystoma tigrinum,330.0,421.0,7000.0,fossorial + terrestrial + aquatic,larval
batrachoseps gregarius,82.6,10.0,29.0,fossorial + terrestrial + aquatic,direct
cycloramphus stejnegeri,56.0,30.0,30.0,terrestrial + aquatic,larval
chiasmocleis leucosticta,23.6,203.0,203.0,terrestrial + aquatic,larval
osteopilus vastus,142.0,332.0,332.0,terrestrial + arboreal,larval
breviceps mossambicus,52.0,20.0,30.0,fossorial + terrestrial + aquatic,direct
litoria auae,41.8,200.0,200.0,arboreal,larval
rhinella dapsilis,77.0,22.0,22.0,terrestrial,larval
centrolene geckoideum,74.5,112.0,112.0,terrestrial + arboreal,larval
scaphiopus hurterii,83.0,232.0,232.0,fossorial + terrestrial + aquatic,larval
physalaemus riograndensis,16.91,200.0,250.0,terrestrial + aquatic,larval
neobatrachus wilsmorei,60.0,2000.0,2000.0,fossorial + terrestrial + aquatic,larval
leptodactylus marmoratus,25.0,2.0,14.0,terrestrial,larval
hyla avivoca,52.0,18.0,800.0,terrestrial + aquatic + arboreal,larval
scutiger boulengeri,62.0,380.0,990.0,terrestrial + aquatic + arboreal,larval
eleutherodactylus pantoni,44.0,78.0,104.0,terrestrial + aquatic,direct
lepidobatrachus laevis,120.5,3696.0,3696.0,fossorial,larval
limnonectes grunniens,170.0,858.0,2062.0,terrestrial + aquatic,larval
hyalinobatrachium talamancae,27.0,28.0,30.0,terrestrial + aquatic + arboreal,larval
rhinella fernandezae,76.0,9000.0,15000.0,terrestrial,larval
philoria pughi,30.0,40.0,42.0,terrestrial + aquatic + arboreal,larval
platymantis vitiensis,60.0,20.0,40.0,terrestrial + arboreal,direct
mannophryne lamarcai,30.8,10.0,10.0,terrestrial + aquatic,larval
lissotriton boscai,100.0,250.0,250.0,terrestrial + aquatic,larval
neobatrachus sutor,45.0,1000.0,1000.0,fossorial + terrestrial + aquatic,larval
paratelmatobius cardosoi,17.9,20.0,20.0,terrestrial + aquatic,larval
pleurodeles waltl,300.0,150.0,1400.0,fossorial + aquatic,larval
allobates nidicola,21.4,2.0,6.0,terrestrial,direct
litoria novaehollandiae,100.0,1000.0,1000.0,fossorial + terrestrial,larval
plethodon dunni,150.0,4.0,15.0,terrestrial + aquatic,direct
blommersia domerguei,20.3,51.0,82.0,terrestrial + arboreal,larval
physalaemus gracilis,40.0,100.0,700.0,terrestrial + aquatic,larval
epipedobates tricolor,26.5,5.0,300.0,terrestrial + aquatic,larval
hyla andersonii,51.0,18.0,1000.0,terrestrial + arboreal,larval
ranitomeya variabilis,21.0,2.0,13.0,terrestrial + arboreal,larval
hemiphractus scutatus,81.0,10.0,17.0,terrestrial + aquatic + arboreal,direct
oreolalax puxiongensis,50.0,102.0,151.0,terrestrial + aquatic + arboreal,larval
pseudacris nigrita,32.0,59.0,800.0,fossorial + terrestrial + aquatic,larval
hypsiboas goianus,38.3,126.0,226.0,terrestrial + arboreal,larval
dendropsophus microcephalus,32.0,49.0,385.0,terrestrial + aquatic + arboreal,larval
strongylopus bonaespei,42.0,6.0,7.0,terrestrial + aquatic,larval
isthmohyla rivularis,43.0,76.0,104.0,terrestrial + aquatic,larval
amolops ricketti,60.7,990.0,991.0,terrestrial + aquatic,larval
craugastor augusti,95.0,59.0,76.0,terrestrial + aquatic,direct
atelopus sernai,33.3,220.0,220.0,terrestrial + aquatic,larval
phrynobatrachus phyllophilus,23.0,24.0,41.0,terrestrial + aquatic,larval
hyperolius spinigularis,28.0,150.0,200.0,terrestrial + aquatic + arboreal,larval
litoria revelata,35.0,200.0,1000.0,terrestrial + aquatic + arboreal,larval
amolops loloensis,77.5,153.0,154.0,terrestrial + aquatic + arboreal,larval
plethodon angusticlavius,79.0,3.0,9.0,terrestrial + aquatic,direct
smilisca sila,62.2,473.0,473.0,terrestrial + aquatic + arboreal,larval
scarthyla goinorum,23.0,22.0,198.0,aquatic + arboreal,larval
guibemantis depressiceps,45.0,12.0,120.0,arboreal,larval
ptychohyla leonhardschultzei,43.4,265.0,265.0,terrestrial + aquatic + arboreal,larval
ambystoma cingulatum,129.0,1.0,34.0,fossorial + terrestrial + aquatic,larval
hypsiboas calcaratus,61.0,186.0,1600.0,terrestrial + aquatic + arboreal,larval
hyla eximia,56.0,265.0,265.0,terrestrial + aquatic + arboreal,larval
hyperolius frontalis,35.0,24.0,24.0,terrestrial + aquatic + arboreal,larval
pseudoeurycea goebeli,142.0,30.0,30.0,fossorial + terrestrial + aquatic,direct
rhacophorus dugritei,56.7,400.0,400.0,terrestrial + aquatic,larval
leptodactylus bolivianus,120.0,650.0,1500.0,terrestrial + aquatic,larval
pelophylax kurtmuelleri,100.0,10000.0,10000.0,terrestrial + aquatic,larval
heleophryne purcelli,56.0,50.0,208.0,terrestrial + aquatic,larval
cacosternum karooicum,30.8,323.0,323.0,terrestrial + aquatic + arboreal,larval
hemisus guttatus,80.0,200.0,2000.0,fossorial,larval
smilisca sordida,64.0,856.0,856.0,terrestrial + aquatic + arboreal,larval
dendropsophus miyatai,25.0,62.0,400.0,terrestrial + arboreal,larval
hyloxalus awa,25.9,4.0,21.0,terrestrial,larval
limnodynastes salmini,75.0,2000.0,2035.0,terrestrial + aquatic + arboreal,larval
stefania satelles,59.5,2.0,8.0,terrestrial + aquatic + arboreal,direct
oreophryne clamata,20.4,9.0,10.0,terrestrial + arboreal,direct
bombina pachypus,45.75,300.0,300.0,fossorial + terrestrial + aquatic,larval
andrias japonicus,1360.0,400.0,600.0,aquatic,larval
duellmanohyla rufioculis,40.0,82.0,265.0,terrestrial + arboreal,larval
adelphobates castaneoticus,22.7,2.0,12.0,terrestrial,larval
xenophrys omeimontis,72.5,357.0,6000.0,terrestrial + aquatic + arboreal,larval
siren intermedia,686.0,130.0,1500.0,fossorial + terrestrial + aquatic,larval
breviceps adspersus,60.0,46.0,46.0,fossorial + terrestrial + aquatic,direct
litoria gracilenta,45.0,400.0,1100.0,terrestrial + aquatic + arboreal,larval
dendropsophus berthalutzae,24.0,43.0,70.0,terrestrial + aquatic,larval
elachistocleis skotogaster,34.4,1072.0,1072.0,terrestrial + aquatic,larval
bolitoglossa obscura,87.7,31.0,31.0,,direct
phyllomedusa burmeisteri,79.0,436.0,436.0,terrestrial + aquatic + arboreal,larval
hypsiboas geographicus,85.0,186.0,4300.0,terrestrial + aquatic + arboreal,larval
ambystoma gracile,219.0,30.0,270.0,terrestrial + aquatic + arboreal,larval
pipa pipa,171.0,65.0,140.0,fossorial + aquatic,direct
atelopus vogli,39.0,260.0,260.0,terrestrial + aquatic,larval
rhinella ocellata,53.0,1120.0,1120.0,terrestrial,larval
hemisus barotseensis,55.01,150.0,200.0,fossorial,larval
oophaga vicentei,21.0,2.0,6.0,arboreal,larval
neobatrachus pictus,50.0,1000.0,1000.0,fossorial + terrestrial + aquatic,larval
paramesotriton hongkongensis,143.0,115.0,115.0,aquatic,larval
rhyacotriton variegatus,115.0,11.0,11.0,terrestrial + aquatic + arboreal,larval
altiphrynoides malcolmi,31.5,11.0,31.0,terrestrial + arboreal,larval
hypsiboas crepitans,75.0,1064.0,2131.0,terrestrial + arboreal,larval
eleutherodactylus auriculatus,24.0,20.0,36.0,terrestrial + arboreal,direct
nanorana pleskei,37.3,50.0,50.0,terrestrial + aquatic + arboreal,larval
hyla sarda,50.0,250.0,1000.0,terrestrial + aquatic + arboreal,larval
boophis viridis,35.0,154.0,154.0,arboreal,larval
scinax cuspidatus,32.5,55.0,286.0,terrestrial + aquatic + arboreal,larval
telmatobius culeus,146.0,500.0,500.0,aquatic,larval
flectonotus ohausi,34.7,15.0,15.0,terrestrial + arboreal,larval
bombina orientalis,47.0,38.0,257.0,fossorial + terrestrial + aquatic,larval
plectrohyla sagorum,52.0,114.0,168.0,terrestrial + aquatic + arboreal,larval
boophis doulioti,52.4,1918.0,4784.0,terrestrial + arboreal,larval
pseudotriton montanus,207.0,77.0,192.0,terrestrial + aquatic,larval
hypsiboas marianitae,56.8,300.0,300.0,terrestrial + arboreal,larval
hylarana macrodactyla,39.8,300.0,300.0,terrestrial,larval
austrochaperina brevipes,28.0,10.0,14.0,terrestrial + aquatic,direct
pyxicephalus edulis,140.0,900.0,3500.0,fossorial + terrestrial + aquatic,larval
hypsiboas multifasciatus,83.0,1343.0,1343.0,terrestrial + aquatic + arboreal,larval
litoria inermis,35.0,96.0,330.0,terrestrial + aquatic + arboreal,larval
litoria lesueurii,70.0,1000.0,1720.0,terrestrial + aquatic + arboreal,larval
eleutherodactylus antillensis,33.0,24.0,42.0,terrestrial + aquatic + arboreal,direct
litoria latopalmata,40.0,200.0,200.0,terrestrial + aquatic + arboreal,larval
centrolene buckleyi,32.8,18.0,18.0,terrestrial + arboreal,larval
nectophrynoides minutus,22.0,20.0,31.0,terrestrial + aquatic,viviparous
ptychadena tellinii,57.0,2011.0,2011.0,terrestrial + aquatic,larval
boophis picturatus,33.3,50.0,50.0,arboreal,larval
eleutherodactylus johnstonei,35.0,10.0,30.0,terrestrial + arboreal,direct
oreolalax rugosus,55.3,436.0,436.0,terrestrial + aquatic + arboreal,larval
scinax elaeochrous,40.3,80.0,80.0,terrestrial + aquatic + arboreal,larval
nyctibatrachus aliciae,32.0,17.0,17.0,terrestrial + aquatic + arboreal,larval
hyloscirtus caucanus,64.4,120.0,120.0,terrestrial + aquatic + arboreal,larval
eleutherodactylus cundalli,46.5,33.0,76.0,fossorial + terrestrial + aquatic,direct
anaxyrus terrestris,116.3,4000.0,4000.0,fossorial + terrestrial,larval
pristimantis ockendeni,29.5,5.0,28.0,terrestrial + arboreal,direct
assa darlingtoni,30.0,11.0,14.0,terrestrial + aquatic,larval
dendropsophus brevifrons,25.0,35.0,114.0,terrestrial + aquatic + arboreal,larval
lithobates palmipes,126.0,186.0,6750.0,terrestrial + aquatic,larval
hypsiboas freicanecae,42.2,30.0,30.0,terrestrial + arboreal,larval
brachycephalus ephippium,19.7,5.0,5.0,terrestrial + aquatic,direct
rana luteiventris,90.0,150.0,2400.0,fossorial + terrestrial + aquatic,larval
hylodes sazimai,30.3,109.0,109.0,terrestrial + aquatic,larval
discoglossus galganoi,80.0,300.0,1500.0,fossorial + terrestrial + aquatic,larval
dendropsophus werneri,23.0,188.0,310.0,terrestrial + aquatic + arboreal,larval
physalaemus albonotatus,34.1,9.0,1562.0,terrestrial + aquatic,larval
lissotriton vulgaris,110.0,300.0,300.0,terrestrial,larval
telmatobufo bullocki,83.0,112.0,112.0,terrestrial + aquatic + arboreal,larval
discoglossus jeanneae,60.0,1500.0,1500.0,fossorial + terrestrial + aquatic,larval
eurycea bislineata,123.0,12.0,43.0,terrestrial + aquatic,larval
ameerega bassleri,42.0,17.0,17.0,terrestrial,larval
leptopelis flavomaculatus,70.0,250.0,250.0,terrestrial + aquatic + arboreal,larval
limnodynastes tasmaniensis,50.5,90.0,1350.0,terrestrial + aquatic + arboreal,larval
arenophryne rotunda,33.0,4.0,11.0,fossorial + terrestrial + aquatic,direct
phyllomedusa megacephala,60.2,5.0,52.0,arboreal,larval
desmognathus ochrophaeus,90.5,3.0,37.0,terrestrial + aquatic,larval
eurycea quadridigitata,90.0,7.0,62.0,terrestrial + aquatic,larval
poyntonophrynus fenoulheti,43.0,245.0,245.0,terrestrial + aquatic,larval
atelopus zeteki,63.0,623.0,623.0,terrestrial + aquatic,larval
engystomops coloradorum,21.62,70.0,190.0,terrestrial,larval
hynobius takedai,124.0,67.0,107.0,terrestrial + aquatic,larval
phaeognathus hubrichti,178.0,40.0,48.0,fossorial + aquatic,direct
cophixalus ornatus,25.0,16.0,16.0,terrestrial + aquatic,direct
strongylopus merumontanus,46.0,1.0,14.0,terrestrial + aquatic,larval
pseudopaludicola ternetzi,20.0,41.0,52.0,terrestrial + aquatic,larval
osteocephalus taurinus,103.9,550.0,2000.0,terrestrial + aquatic + arboreal,larval
ameerega erythromos,25.2,3.0,3.0,terrestrial,larval
nyctixalus margaritifer,35.0,15.0,15.0,terrestrial + arboreal,larval
pseudis minuta,51.1,272.0,700.0,fossorial + aquatic,larval
aplastodiscus cochranae,50.3,281.0,385.0,terrestrial + aquatic + arboreal,larval
dendropsophus rossalleni,23.0,73.0,162.0,aquatic + arboreal,larval
atelopus subornatus,39.0,189.0,189.0,terrestrial + aquatic,larval
geocrinia victoriana,35.0,126.0,126.0,terrestrial + aquatic,larval
rana chensinensis,63.2,165.0,2000.0,terrestrial + aquatic + arboreal,larval
glandirana emeljanovi,55.4,436.0,1130.0,terrestrial + aquatic,larval
limnonectes leytensis,49.6,30.0,62.0,terrestrial + aquatic,larval
dendropsophus joannae,20.6,207.0,207.0,terrestrial + aquatic,larval
scinax eurydice,53.8,1486.0,1913.0,terrestrial + aquatic + arboreal,larval
rhacophorus kio,81.6,265.0,265.0,arboreal,larval
pseudepidalea raddei,89.0,6000.0,6000.0,terrestrial,larval
amietophrynus regularis,130.0,9000.0,13000.0,terrestrial,larval
lechriodus fletcheri,52.0,300.0,300.0,fossorial + terrestrial + aquatic,larval
rana sakuraii,58.3,100.0,160.0,terrestrial + aquatic,larval
plectrohyla quecchi,47.0,92.0,97.0,terrestrial + aquatic + arboreal,larval
scinax alter,32.0,297.0,581.0,terrestrial + aquatic + arboreal,larval
scaphiophryne menabensis,45.0,450.0,670.0,terrestrial,larval
litoria longipes,45.0,50.0,2000.0,fossorial + terrestrial,larval
scutiger pingwuensis,77.5,505.0,505.0,terrestrial + aquatic + arboreal,larval
synapturanus mirandaribeiroi,42.0,9.0,9.0,fossorial + terrestrial + aquatic,larval
adelophryne gutturosa,16.0,1.0,1.0,terrestrial + aquatic,direct
mantella aurantiaca,31.0,40.0,232.0,terrestrial + aquatic,larval
phyllomedusa tetraploidea,69.4,130.0,332.0,terrestrial + aquatic + arboreal,larval
mannophryne trinitatis,29.0,10.0,11.0,terrestrial + aquatic,larval
melanophryniscus stelzneri,30.0,351.0,351.0,terrestrial + aquatic,larval
hyperolius marmoratus,43.0,150.0,650.0,terrestrial + arboreal,larval
litoria dentata,45.5,238.0,3054.0,terrestrial + aquatic + arboreal,larval
rhinella ornata,84.29,1477.0,5964.0,terrestrial,larval
aplastodiscus leucopygius,45.1,127.0,322.0,terrestrial + aquatic + arboreal,larval
hypsiboas faber,104.0,1724.0,3000.0,terrestrial + aquatic + arboreal,larval
aneides vagrans,130.0,6.0,9.0,terrestrial + aquatic,direct
limnonectes kuhlii,81.5,26.0,80.0,terrestrial + aquatic,larval
arthroleptella bicolor,22.0,8.0,10.0,terrestrial + aquatic,direct
spea hammondii,61.0,186.0,400.0,terrestrial + aquatic + arboreal,larval
pseudorana weiningensis,43.0,313.0,313.0,terrestrial + aquatic,larval
myersiella microps,40.0,18.0,32.0,fossorial + terrestrial + aquatic,direct
pelophylax shqipericus,75.0,3000.0,3000.0,terrestrial + aquatic,larval
lithobates blairi,111.0,5250.0,5250.0,terrestrial + aquatic,larval
scinax fuscomarginatus,26.7,185.0,421.0,terrestrial + aquatic + arboreal,larval
ptychadena nana,30.0,120.0,551.0,terrestrial + aquatic + arboreal,larval
hydromantes shastae,108.0,9.0,12.0,terrestrial + aquatic,direct
pseudopaludicola saltica,22.0,45.0,139.0,terrestrial + aquatic,larval
adelotus brevis,45.0,243.0,243.0,fossorial + terrestrial + aquatic,larval
afrixalus crotalus,24.0,50.0,50.0,terrestrial + aquatic + arboreal,larval
cophixalus mcdonaldi,25.0,17.0,17.0,terrestrial + arboreal,direct
discoglossus montalentii,65.0,1000.0,1000.0,fossorial + terrestrial + aquatic,larval
philautus schmackeri,30.3,6.0,15.0,terrestrial + arboreal,direct
rhinella margaritifera,74.0,186.0,1537.0,terrestrial,larval
phyllomedusa trinitatis,95.5,40.0,40.0,terrestrial + aquatic + arboreal,larval
telmatobufo venustus,65.1,111.0,111.0,terrestrial + aquatic + arboreal,larval
nanorana annandalii,51.5,160.0,160.0,terrestrial,larval
breviceps macrops,50.0,43.0,43.0,fossorial + terrestrial + aquatic,direct
phrynobatrachus natalensis,40.0,150.0,650.0,terrestrial + aquatic,larval
physalaemus centralis,40.0,985.0,2821.0,terrestrial + aquatic,larval
hyloxalus bocagei,29.5,28.0,50.0,terrestrial + aquatic,larval
plethodon neomexicanus,143.0,5.0,12.0,terrestrial + aquatic,direct
phyllomedusa bicolor,135.0,22.0,860.0,aquatic + arboreal,larval
ranitomeya sirensis,19.9,1.0,4.0,terrestrial + arboreal,larval
breviceps sylvestris,50.0,56.0,56.0,fossorial + terrestrial + aquatic,direct
hyperolius molleri,33.0,70.0,110.0,aquatic + arboreal,larval
tylototriton hainanensis,148.0,58.0,90.0,terrestrial,larval
boophis tephraeomystax,50.0,1000.0,1000.0,arboreal,larval
phyllomedusa ayeaye,46.1,20.0,31.0,terrestrial + arboreal,larval
scaphiophryne calcarata,33.0,465.0,465.0,fossorial + terrestrial + aquatic,larval
buergeria buergeri,76.0,177.0,659.0,terrestrial + arboreal,larval
incilius campbelli,90.0,5000.0,5000.0,terrestrial,larval
gegeneophis ramaswamii,340.0,2.0,21.0,fossorial + terrestrial + aquatic,direct
desmognathus imitator,87.0,13.0,30.0,terrestrial + aquatic,larval
phrynobatrachus francisci,22.0,1000.0,2500.0,terrestrial + aquatic,larval
ameerega braccata,21.8,7.0,7.0,terrestrial,larval
dendropsophus sanborni,21.1,60.0,130.0,terrestrial + aquatic + arboreal,larval
litoria tornieri,35.0,69.0,200.0,terrestrial + aquatic + arboreal,larval
nymphargus griffithsi,26.6,9.0,9.0,terrestrial + arboreal,larval
uperoleia marmorata,30.0,200.0,200.0,terrestrial + aquatic,larval
chiromantis doriae,27.4,180.0,990.0,terrestrial + arboreal,larval
metaphrynella sundana,30.0,79.0,79.0,terrestrial + arboreal,larval
agalychnis callidryas,77.2,19.0,265.0,terrestrial + aquatic + arboreal,larval
pseudacris ocularis,17.5,100.0,232.0,fossorial + terrestrial + aquatic,larval
psychrophrynella illampu,23.9,8.0,8.0,terrestrial + aquatic,direct
pipa parva,44.0,186.0,186.0,fossorial + aquatic,larval
odorrana supranarina,103.0,1100.0,1100.0,terrestrial,larval
gastrotheca albolineata,60.0,5.0,33.0,terrestrial + aquatic + arboreal,direct
corythomantis greeningi,86.5,700.0,700.0,terrestrial + aquatic + arboreal,larval
pseudacris regilla,50.0,265.0,807.0,terrestrial + aquatic,larval
phyllomedusa vaillantii,84.0,186.0,1250.0,terrestrial + aquatic + arboreal,larval
limnodynastes terraereginae,76.0,192.0,192.0,terrestrial + aquatic + arboreal,larval
phrynoidis aspera,140.0,9500.0,16000.0,terrestrial + aquatic,larval
polypedates leucomystax,80.0,100.0,337.0,terrestrial + arboreal,larval
dendropsophus marmoratus,56.0,186.0,1580.0,terrestrial + arboreal,larval
ranitomeya imitator,18.2,1.0,4.0,terrestrial + arboreal,larval
hyalinobatrachium fleischmanni,32.0,18.0,30.0,terrestrial + aquatic + arboreal,larval
quasipaa boulengeri,134.0,218.0,218.0,terrestrial + aquatic,larval
pristimantis diadematus,108.0,18.0,62.0,arboreal,direct
rana kukunoris,61.9,265.0,2000.0,terrestrial + aquatic + arboreal,larval
engystomops petersi,39.0,300.0,563.0,terrestrial,larval
